,id,description,price,address,date added,agent
5,67705525,Land for sale,5000,"Land Adjacent To Mereside School, Masefield Drive, Heaton Mersey, Stockport, Cheshire, SK4",,"Marketed by PUGH & COMPANY LIMITED, Newton-Le-Willows"
6,76481630,2 bedroom apartment for sale,5000,"Broughton Road, Salford, Greater Manchester, M6",," by Property Exchange, Newton Aycliffe"
3,76574888,Studio flat for sale,7500,"30 Montgomery House, Manchester, M16",22/10/2018," by Auction House, North West"
4,76573913,Studio flat for sale,7500,"32 Montgomery House, Manchester, M16",19/10/2018," by Auction House, North West"
2,45696435,Parking for sale,8500,"Red Bank, Manchester, Greater Manchester, M4",22/10/2018," by Cherry Picked Properties, Heald Green"
0,76606250,1 bedroom flat for sale,9000,"331 Montgomery House, Manchester, M16",02/10/2018," by Auction House, North West"
1,76600214,Studio flat for sale,9000,"29A Montgomery House, Manchester, M16",29/11/2016," by Auction House, North West"
25,63818236,1 bedroom house share for sale,14000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",," by Simply Residential & Simply Commercial, Bolton"
24,54340587,1 bedroom house share for sale,14000,"Montgomery House, Demesne Rd, Manchester. M16 8PH",," by Simply Residential & Simply Commercial, Bolton"
23,52817940,1 bedroom house share for sale,14000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",," by Simply Residential & Simply Commercial, Bolton"
22,75721349,Land for sale,15000,"Tennyson Close, Heaton Mersey",29/11/2016,"Marketed by Joules Estate Agency, Heaton Mersey"
21,75721304,Land for sale,15000,"Tennyson Close, Heaton Mersey",06/03/2018,"Marketed by Joules Estate Agency, Heaton Mersey"
20,57484512,Studio flat for sale,15000,"Montgomery House, Demesne Road, Manchester, M16 8PH",11/05/2018," by yieldit, Manchester"
19,75721301,Land for sale,15000,"Briar Hollow, Heaton Mersey",11/10/2018,"Marketed by Joules Estate Agency, Heaton Mersey"
18,67705420,Land for sale,15000,"Land At Briar Hollow, Heaton Mersey, Stockport, Cheshire, SK4",24/10/2018,"Marketed by PUGH & COMPANY LIMITED, Newton-Le-Willows"
17,57484509,Studio flat for sale,15000,"Montgomery House, Demesne Road, Manchester, M16 8PH",24/10/2018," by yieldit, Manchester"
16,53622678,1 bedroom house share for sale,16000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",24/08/2017," by Simply Residential & Simply Commercial, Bolton"
15,51690738,1 bedroom house share for sale,17000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",17/11/2017," by Simply Residential & Simply Commercial, Bolton"
14,71761169,1 bedroom house share for sale,18000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",28/02/2018," by Simply Residential & Simply Commercial, Bolton"
13,54340578,1 bedroom house share for sale,18000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",11/05/2018," by Simply Residential & Simply Commercial, Bolton"
12,73206002,1 bedroom apartment for sale,19000,"Kirkman Close, Manchester",15/05/2018," by Sanderson James, Gorton"
11,44807619,1 bedroom house share for sale,19000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",17/11/2017," by Simply Residential & Simply Commercial, Bolton"
10,51690720,1 bedroom house share for sale,19000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",17/11/2017," by Simply Residential & Simply Commercial, Bolton"
9,44807613,1 bedroom house share for sale,19000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",17/11/2017," by Simply Residential & Simply Commercial, Bolton"
8,75146813,Parking for sale,19000,"Brookfield Court, Kirkham Close, Gorton, Manchester, M18",23/08/2018," by Bridgfords, Denton"
7,51780540,1 bedroom retirement property for sale,19000,"Kirkman Close, Manchester",22/11/2017," by Edward Mellor Ltd, Gorton"
29,53187525,1 bedroom house share for sale,22000,"Montgomery House, Demesne Rd, Whalley Range, Manchester",12/08/2018," by Simply Residential & Simply Commercial, Bolton"
28,71807480,Property for sale,25000,"Rear Of Church Road  , Manchester, M22",18/01/2018," by Bergins Estate Agents, Manchester - Sales"
27,57143301,Studio flat for sale,28000,"Montgomery House, Demesne Road, Manchester, M16 8PH",02/03/2018," by yieldit, Manchester"
26,73263599,Land for sale,29950,"Yeadon Road, Gorton",09/10/2018,"Marketed by Medlock Estates, Droylsden"
35,72302303,3 bedroom semi-detached house for sale,43750,"Sycamore Road, Manchester",12/08/2018, by Equity Living
34,65449318,1 bedroom flat for sale,45000,"Waterloo Road, Greater Manchester, Manchester, Greater Manchester, M8",29/03/2018," by Bridgfords, Manchester"
33,72301367,3 bedroom semi-detached house for sale,46250,"Sycamore Road, Manchester",20/07/2018, by Equity Living
31,75015686,1 bedroom apartment for sale,49950,"Hollinwood Avenue, New Moston, Manchester, M40",17/08/2018," by Ryder & Dutton, Chadderton"
30,54200574,1 bedroom apartment for sale,49950,"Surrey Road, Blackley, Manchester, M9",17/08/2018," by Ryder & Dutton, Middleton"
32,75015842,1 bedroom apartment for sale,49950,"Hollinwood Avenue, New Moston, Manchester, M40",29/03/2018," by Ryder & Dutton, Chadderton"
42,73091060,2 bedroom semi-detached house for sale,53200,"Vine Street,
Gorton,
Manchester,
M18",08/01/2018, by Gecko Homes
41,65449312,1 bedroom flat for sale,54000,"Park View, 3a-2, 220-, Manchester, M8",25/09/2018," by Bridgfords, Manchester"
38,56000406,Plot for sale,55000,"Garlick Street, Manchester",17/10/2018,"Marketed by Sanderson James, Levenshulme"
39,75931871,1 bedroom flat for sale,55000,"Trafford Road, Eccles",15/05/2018," by Hills Residential, Eccles "
40,61869187,1 bedroom flat for sale,55000,"Broughton Road, Salford, M6",20/07/2018," by Reeds Rains , Salford"
36,65859295,1 bedroom apartment for sale,59950,"Carmel Court, 14 Holland Road, Manchester",19/06/2018," by Ascend , Manchester "
37,76205597,1 bedroom apartment for sale,59950,"Freshfields, Spindletree Avenue, Blackley, Manchester, M9",08/10/2018," by Ryder & Dutton, Middleton"
66,60702769,1 bedroom flat for sale,61950,"Heaton Towers, Heaton Norris, Stockport",12/07/2018," by Kaye Mackenzie, Levenshulme - Sales"
65,72420983,1 bedroom retirement property for sale,62950,"Ryland House, Manchester",14/09/2018," by Belvoir, Manchester Central"
64,73090256,3 bedroom semi-detached house for sale,64000,"Vine Street,
Gorton,
Manchester,
M18",10/05/2018, by Gecko Homes
63,70603979,1 bedroom flat for sale,64500,"Carmel Ct, Holland Road, Manchester, Greater Manchester, M8",13/12/2017," by The Property Man, Sale"
62,58716487,1 bedroom flat for sale,64950,"Grange Park Road, Manchester",23/03/2017," by Tom Clarke, Manchester"
56,76431731,1 bedroom apartment for sale,65000,"Malcolm Drive, Clifton",17/10/2018," by Thornley Groves, Swinton"
59,73302014,1 bedroom apartment for sale,65000,"Long Street, Swinton",01/10/2018," by Carr & Hume Estate Agents Limited, Swinton"
58,65213017,1 bedroom flat for sale,65000,"Ainsbrook Avenue, MANCHESTER, M9",18/07/2018," by Reeds Rains , Salford"
57,76574390,Studio flat for sale,65000,"X1 Chapel Street, 272 - 280 Chapel Street, Salford, M3 5JZ",22/10/2018," by yieldit, Manchester"
60,64379734,1 bedroom flat for sale,65000,"Little Moss Court, 1 Little Moss Lane, Manchester, Greater Manchester, M27",15/10/2018," by Bridgfords, Swinton"
55,76519562,1 bedroom flat for sale,65000,"Southmoor, 23 Glebelands Road, Baguley, Manchester, M23",19/10/2018," by Bridgfords, Sale"
61,75347027,1 bedroom flat for sale,65000,"Isobel Close, Eccles, Manchester, M30 7JG",03/09/2018," by Hunters, Worsley"
54,76671398,3 bedroom semi-detached house for sale,65800,"Langley Road,
Salford,
M27 8SS",, by Plumlife
53,65873527,1 bedroom flat for sale,66000,"Bandy Fields Place, Salford, M7",20/06/2018," by Reeds Rains , Salford"
52,55943613,1 bedroom retirement property for sale,66500,"Hodgson Court, Burnage ",24/09/2018," by John Mellor Independent Estate Agents, Heaton Moor, Stockport"
51,55045170,2 bedroom semi-detached house for sale,67500,Horse Chestnut Drive,26/06/2018, by Equity Living
50,74485409,1 bedroom bungalow for sale,67750,"Headingley Road, Ladybarn/ Fallowfield , Manchester, M14",31/08/2018," by Reeds Rains , Didsbury"
49,76482446,3 bedroom semi-detached house for sale,68250,"Langley Road,
Salford,
M27 8SS",18/10/2018, by Plumlife
47,68090044,2 bedroom terraced house for sale,69000,"Ashworth Street, Failsworth, M35",22/10/2018," by Martin & Co, Manchester Prestwich - Lettings & Sales"
48,68091913,2 bedroom end of terrace house for sale,69000,"8 Ashworth Street, Failsworth, Manchester, Greater Manchester M35 0JQ",22/10/2018," by SDL Auctions, Nottingham"
45,76442108,1 bedroom apartment for sale,69950,"The Pines, 3 Ainsbrook Avenue, Moston, Manchester",17/10/2018," by Henstock Property Services, Middleton"
44,52933812,Studio apartment for sale,69950,Hyde Road Ardwick Manchester,12/02/2018," by C & R Properties Ltd, Hulme"
46,71307419,2 bedroom flat for sale,69950,"932 Rochdale Road, Manchester, Greater Manchester, M9 7EP",25/09/2018," by Aubrey Lee & Co, Blackley"
43,68813054,1 bedroom apartment for sale,70000,"Lowther Court, Prestwich",21/03/2018," by Melissa Berry Sales & Lettings, Prestwich"
100,76548053,3 bedroom semi-detached house for sale,71000,"Grisedale Close, Manchester, M18",20/10/2018," by Purplebricks, covering Manchester"
99,38719248,1 bedroom flat for sale,71000,"Hodgson Court, Manchester, M19 2HE",28/09/2018," by Retirement Homesearch, New Milton"
98,74031161,2 bedroom flat for sale,72000,"Cityview, Manchester",22/06/2018," by Pearson Ferrier , Cheetham Hill "
97,67225123,2 bedroom terraced house for sale,72000,"Co-operation Street, Failsworth, Manchester",29/08/2018," by Edward Mellor Ltd, Stockport"
96,56656310,1 bedroom maisonette for sale,72500,"Wardley Street, Swinton,Manchester",15/12/2015," by Clive Anthony Sales & Lettings, Prestwich"
95,57286980,2 bedroom apartment for sale,72500,"Freshfields, Spindletree Avenue, Manchester, Greater Manchester, M9",15/10/2018," by Ryder & Dutton, Middleton"
94,73144955,1 bedroom retirement property for sale,72500,"Ryland House, Chorlton, Manchester, M21 ",12/05/2018," by JP & Brimelow, Chorlton & Didsbury Sales"
93,64511842,1 bedroom flat for sale,73500,"Lakeside Rise, Blackley, Manchester, M9 ",21/09/2018," by Pearson Ferrier, Radcliffe"
90,74622056,2 bedroom apartment for sale,74950,"Cityview House, Highclere Avenue, Salford",24/07/2018," by Stevenson Whyte, Manchester"
91,56631366,1 bedroom flat for sale,74950,"Ayres Road, Old Trafford, Manchester, M16",16/09/2018," by Reeds Rains , Stretford"
92,38909947,1 bedroom flat for sale,74950,"Clarendon Road, Manchester, M16",17/02/2018," by Reeds Rains , Stretford"
81,64978879,1 bedroom flat for sale,75000,694 Liverpool Road Eccles M30,20/04/2018," by 4you Sales and Lettings, Manchester - Sales"
82,65450569,2 bedroom flat for sale,75000,"Sycamore Court, Salford, M6",17/07/2018," by Reeds Rains , Salford"
83,71376179,1 bedroom apartment for sale,75000,"Lakeside Rise, Manchester, Greater Manchester, M9",21/06/2018," by Happy Homes Manchester Ltd, Greater Manchester"
84,56652345,Studio flat for sale,75000,"Hyde Road, Manchester, Greater Manchester, M12",18/09/2018," by One Touch Property Investment, London "
85,67770775,3 bedroom semi-detached house for sale,75000,"Bransby Avenue, Blackley, Manchester",01/10/2018," by Edward Mellor Ltd, Stockport"
86,74795330,1 bedroom apartment for sale,75000,"Lakeside Rise, Manchester, Greater Manchester, M9",01/08/2018," by Happy Homes Manchester Ltd, Greater Manchester"
87,75525056,1 bedroom flat for sale,75000,"Wellmead Close, Manchester",10/09/2018," by Pearson Ferrier , Cheetham Hill "
88,67724800,2 bedroom terraced house for sale,75000,"Ben Street, Clayton, Manchester",27/09/2018," by Edward Mellor Ltd, Stockport"
89,56658797,1 bedroom maisonette for sale,75000,"Wardley Street, Swinton, Manchester",15/12/2015," by Clive Anthony Sales & Lettings, Prestwich"
80,74016713,1 bedroom apartment for sale,75500,"Anson Street, Manchester, Greater Manchester, M30",21/06/2018," by The Investment Room, Bradford"
79,56165874,1 bedroom apartment for sale,77000,"Moor End Court, Bury New Road",20/09/2018," by Aubrey Lee & Co, Prestwich"
78,74259116,2 bedroom terraced house for sale,78950,"Blackley New Road, Manchester, Greater Manchester, M9",01/07/2018," by Aubrey Lee & Co, Blackley"
76,76015940,1 bedroom apartment for sale,79000,"Off Plan Manchester Apartments, Chester Road, Manchester",13/09/2017, by RW Invest
77,56440719,1 bedroom apartment for sale,79000,"Luxury Manchester Apartments, Talbot Road, Manchester",14/09/2017, by RW Invest
74,68171098,2 bedroom apartment for sale,79950,"Freshfields, Spindletree Avenue, Manchester, M9 7HQ",," by urbanbubble, Manchester"
73,75211283,2 bedroom terraced house for sale,79950,"Summerville Avenue, Manchester",28/08/2018," by Tom Clarke, Manchester"
72,56706784,1 bedroom flat for sale,79950,"Lord Lane Mews, Failsworth, Manchester",08/03/2018," by N P Estates, Manchester"
71,56984304,2 bedroom apartment for sale,79950,"Rawsthorne Avenue, Manchester",03/10/2018," by Sanderson James, Gorton"
70,65045716,1 bedroom flat for sale,79950,"Oak Court, Hayfield Road, Salford",10/07/2018," by Barlow White Estates, Monton"
75,42605281,1 bedroom apartment for sale,79950,"Anson Street,Eccles,Manchester,M30",24/04/2015," by The Investment Room, Bradford"
69,57464094,2 bedroom terraced house for sale,79995,"Simister Street, Moston, Manchester",23/10/2018," by Edward Mellor Ltd, Droylsden"
68,54646806,2 bedroom terraced house for sale,80000,"Kenyon Street, Manchester",," by Space 4 Living Estate Agents, Reddish"
67,56449368,2 bedroom terraced house for sale,80000,"Sandheys Grove, Manchester, M18",05/09/2018," by Reeds Rains , Reddish "
148,76230563,2 bedroom terraced house for sale,82000,"7 Cawley Terrace, Heaton Park Road, Hr Blackley, Manchester, Greater Manchester M9 0QR",09/10/2018," by SDL Auctions, Nottingham"
147,56703143,2 bedroom terraced house for sale,82000,"Walter Street, Manchester, Greater Manchester, M18",11/10/2018," by WPF Properties Ltd, Manchester"
149,57138471,2 bedroom terraced house for sale,82000,"7 Cawley Terrace, Heaton Park Road, Manchester, Greater Manchester, M9 0QR",09/10/2018," by Aubrey Lee & Co, Blackley"
146,71786216,2 bedroom apartment for sale,84375,"Beech Court, 49 Painswick Road, Manchester, M22",01/03/2018," by Bergins Estate Agents, Manchester - Sales"
145,67000027,2 bedroom terraced house for sale,84950,"Hertford Road, Manchester",04/10/2018," by Tom Clarke, Manchester"
144,76570886,3 bedroom semi-detached house for sale,84950,"Yewlands Avenue, Manchester",22/10/2018," by Case McNair Estate Agents, Manchester"
143,76372886,1 bedroom flat for sale,84950,"Clough road , Manchester ",15/10/2018," by Cousins Homes Ltd, Failsworth"
142,56267757,2 bedroom apartment for sale,84950,"Freshfields, Spindletree Avenue, Blackley, Greater Manchester, M9",17/09/2018," by Ryder & Dutton, Middleton"
141,75752123,2 bedroom terraced house for sale,84950,"Hobson Street, Failsworth, Manchester, M35",20/09/2018," by Ryder & Dutton, Chadderton"
140,55308282,1 bedroom flat for sale,84950,Flat 7 Park Court,24/09/2018," by Saltsman & co, Droylsden"
126,67231552,2 bedroom terraced house for sale,85000,"Louisa Street, Openshaw, Manchester",29/08/2018," by Edward Mellor Ltd, Droylsden"
129,39532020,2 bedroom flat for sale,85000,"Larch Gardens, Manchester, Greater Manchester, M9",04/04/2018," by Bridgfords, Manchester"
125,74731610,3 bedroom semi-detached house for sale,85000,"Lilmore Avenue, Newton Heath, M40 ",11/10/2018," by Martin & Co, Manchester Prestwich - Lettings & Sales"
124,76158329,1 bedroom terraced house for sale,85000,"Brambling Close, Audenshaw",05/10/2018," by Doorsteps.co.uk, National "
130,51794645,1 bedroom apartment for sale,85000,Danes Road  Manchester,22/04/2015," by Ash Residential, Manchester"
131,76301039,2 bedroom semi-detached house for sale,85000,"6 Lilmore Avenue, Manchester, Greater Manchester M40 1EY",12/10/2018," by SDL Auctions, Nottingham"
132,72867797,2 bedroom terraced house for sale,85000,"Grasmere Street, Manchester, Greater Manchester, M12",08/12/2017," by Easy Homes MCR, Manchester"
135,76277045,2 bedroom terraced house for sale,85000,"Brocklehurst Street, Manchester",11/10/2018," by Beech Property, Droylsden"
134,76187663,2 bedroom terraced house for sale,85000,"Scarborough Street, Manchester, M40",07/10/2018," by Purplebricks, covering Manchester"
127,56595849,1 bedroom flat for sale,85000,"Slade Lane, Manchester",13/09/2018," by Edward Mellor Ltd, Levenshulme"
136,67712599,2 bedroom semi-detached house for sale,85000,"Cobble Bank, Manchester",26/09/2018," by Jonathan Dines and Co, Manchester"
137,56633790,1 bedroom flat for sale,85000,"Eccles Fold, Eccles, Manchester, M30",18/10/2018," by Your Move , Swinton"
138,67850014,3 bedroom end of terrace house for sale,85000,"Cobden Street, Blackley, Manchester",05/10/2018," by Edward Mellor Ltd, Stockport"
139,67318759,3 bedroom semi-detached house for sale,85000,"Stanhope Road, Salford",11/10/2018," by Edward Mellor Ltd, Stockport"
133,54646578,2 bedroom terraced house for sale,85000,"Peterborough Street, Manchester",30/05/2018," by Space 4 Living Estate Agents, Reddish"
128,57131877,2 bedroom semi-detached house for sale,85000,"Monsall Road, Manchester, Greater Manchester, M40",09/10/2018," by Bridgfords, Manchester"
123,57182061,1 bedroom flat for sale,87000,"St James Park, Salford",10/10/2018," by Ashworth Holme, Sale"
122,72301448,3 bedroom semi-detached house for sale,87500,"Sycamore Road, Manchester",29/03/2018, by Equity Living
121,51251052,2 bedroom flat for sale,87950,"Hyde Road, Gorton, Manchester",04/10/2018," by Julian Wadden, REDDISH"
120,55730079,2 bedroom terraced house for sale,88000,"Rockhampton Street, Manchester",28/07/2018," by Sanderson James, Gorton"
119,67659334,Studio flat for sale,88950,"Harwood Road, Heaton Mersey",24/09/2018," by Joules Estate Agency, Heaton Mersey"
118,63513091,1 bedroom flat for sale,89000,"Longford Place, Manchester, Greater Manchester, M14",15/03/2018," by Mustafa & Co Property Management, Manchester"
117,62086130,2 bedroom apartment for sale,89950,Stansfield Street,23/09/2016," by Beech Property, Droylsden"
116,75370061,Studio flat for sale,89950,"Harwood Road, Heaton Mersey, Stockport",08/10/2018," by Joules Estate Agency, Heaton Mersey"
115,73884563,1 bedroom flat for sale,89950,"Lawton Moor Road, Manchester",16/06/2018," by Doorsteps.co.uk, National "
114,75584603,2 bedroom apartment for sale,89950,"Rochdale Road, Blackley, MANCHESTER",12/09/2018," by Henstock Property Services, Middleton"
113,68162173,2 bedroom apartment for sale,89950,"Station Mews, Failsworth , Manchester",," by N P Estates, Manchester"
112,56392947,2 bedroom terraced house for sale,89995,"Ilford Street, Clayton, Manchester",03/09/2018," by Edward Mellor Ltd, Droylsden"
111,56442021,1 bedroom apartment for sale,89995,"Off Plan Manchester Apartments, Chester Road, Manchester",05/09/2018, by RW Invest
110,55689810,2 bedroom terraced house for sale,89995,"Midlothian Street, Clayton, Manchester",26/07/2018," by Edward Mellor Ltd, Droylsden"
109,55051638,2 bedroom end of terrace house for sale,89995,"Gill Street, Manchester, M9",05/01/2017," by Purplebricks, covering Manchester"
108,76567217,1 bedroom apartment for sale,89995,"Luxury Manchester Apartments, Talbot Road, Manchester",13/09/2017, by RW Invest
107,74391908,Studio flat for sale,89999,"X1 The Campus Student Property, Salford, Greater Manchester, M6",06/07/2018, by Alesco Investment Properties
222,68114704,2 bedroom terraced house for sale,90000,"Leng Road, Newton Heath, Greater Manchester, M40",23/10/2018," by Ryder & Dutton, Chadderton"
226,68153161,2 bedroom flat for sale,90000,"Beechfield House, Forth Avenue, Manchester, Greater Manchester, M27",03/07/2018," by Bridgfords, Swinton"
223,71817242,2 bedroom terraced house for sale,90000," Craig Road,  Manchester, M18",03/03/2018," by Easy Homes MCR, Manchester"
224,67575385,3 bedroom terraced house for sale,90000,"Grosvenor Street, Pendlebury, Swinton, Manchester, M27",11/10/2018," by Bridgfords, Swinton"
227,72102185,3 bedroom end of terrace house for sale,90000,"Bramhall Street, Manchester",20/03/2018," by Edward Mellor Ltd, Gorton"
225,55074084,2 bedroom terraced house for sale,90000,"Blakey Street, Manchester",27/06/2018," by Sanderson James, Levenshulme"
104,67599589,3 bedroom end of terrace house for sale,90000,"Oakbank Avenue, MANCHESTER",12/10/2018," by Barnard Marcus, Hammersmith Auctions"
106,75440756,1 bedroom apartment for sale,90000,"Luxury Manchester Apartments, Talbot Road, Manchester",13/09/2017, by RW Invest
105,68091001,2 bedroom apartment for sale,90000,"Eldon Place, Eccles, Manchester, M30 8QE",22/10/2018," by Hunters, Worsley"
228,72927245,2 bedroom flat for sale,90000,"Gorton Lane, Manchester",02/05/2018," by Edward Mellor Ltd, Gorton"
103,51140631,1 bedroom flat for sale,90000,"The Hawthorns, 114 Edge Lane, Manchester, Greater Manchester, M32",13/09/2018," by Bridgfords, Stretford"
102,56756787,2 bedroom terraced house for sale,90000,"Fram Street, Salford, M6",23/09/2018," by Housesimple.com, Manchester"
101,72425396,1 bedroom apartment for sale,90000,"City Link, Hessel Street, Salford, Manchester",04/04/2018," by O'Connor Bowden, Stockport - Sales"
218,72301397,3 bedroom semi-detached house for sale,92500,"Sycamore Road, Manchester",29/03/2018, by Equity Living
219,67970863,2 bedroom terraced house for sale,92500,"Milkwood Grove, Manchester",13/10/2018," by Edward Mellor Ltd, Gorton"
221,67369174,2 bedroom terraced house for sale,92500,"Fold Street, Manchester",06/09/2018," by Tom Clarke, Manchester"
220,66646204,1 bedroom apartment for sale,92500,"Westwood ApartmenTS, M8 0WT",18/10/2018," by C & R Properties Ltd, Manchester (City)"
217,74968523,2 bedroom apartment for sale,92950,"Larch Gardens, Cheetham Hill, Manchester, M8 ",03/10/2018," by Thornley Groves, Manchester Southern Gateway"
216,76481633,2 bedroom apartment for sale,92995,"Broughton Road, Salford, Greater Manchester, M6",19/10/2018," by Property Exchange, Newton Aycliffe"
215,67528463,Studio apartment for sale,94000,"Clippers Quay, Salford Quays M50",03/10/2018," by Beyond Residential , Salford Quays"
214,53411496,1 bedroom retirement property for sale,94000,"Tatton Court, Heaton Moor",24/09/2018," by Space 4 Living Estate Agents, Reddish"
213,76671425,3 bedroom semi-detached house for sale,94000,"Langley Road,
Salford,
M27 8SS",, by Plumlife
211,67604197,2 bedroom flat for sale,94500,"Waterhouse Way, Stockport",23/10/2018," by Edward Mellor Ltd, Gorton"
212,56527902,2 bedroom apartment for sale,94500,"Houldsworth Mill, Houldsworth Road, Reddish",10/09/2018," by Philip James Kennedy, Sales"
209,76310027,1 bedroom ground floor flat for sale,94950,"Kershaw Grove, Audenshaw, Greater Manchester, M34",19/10/2018," by Sleigh & Son, Droylsden"
208,68140945,3 bedroom end of terrace house for sale,94950,"Kingscliffe Street, Manchester",24/10/2018," by Tom Clarke, Manchester"
210,76411889,2 bedroom flat for sale,94950,"Church View, Swinton, Manchester",16/10/2018," by Barlow White Estates, Monton"
189,55195638,2 bedroom end of terrace house for sale,95000,"Hinde Street, Moston, Manchester",," by Open House Estate Agents , Nationwide"
196,56974881,2 bedroom terraced house for sale,95000,"Ceylon Street, Newton Heath, Manchester, Greater Manchester, M40",03/10/2018," by Bridgfords, Manchester"
195,57141867,1 bedroom flat for sale,95000,"15 Manor Road, Levenshulme, Manchester",09/10/2018," by Edward Mellor Ltd, Levenshulme"
194,75278063,1 bedroom end of terrace house for sale,95000,"Cicero Street, Manchester, M9",30/08/2018," by Purplebricks, covering Manchester"
193,55957908,1 bedroom apartment for sale,95000,"The Pulse, Old Trafford, Manchester, M16 ",08/08/2018," by Thornley Groves, Manchester Southern Gateway"
192,67400161,2 bedroom terraced house for sale,95000,"Cross Lane, Manchester",07/09/2018," by Edward Mellor Ltd, Gorton"
191,52977993,3 bedroom town house for sale,95000,"Selby Street, Openshaw, Manchester, M11",16/02/2018," by Lancashire Properties, Manchester"
190,70483949,1 bedroom apartment for sale,95000,"Market Street,
Droylsden,
Manchester,
M43",09/12/2017, by Watkin Jones Homes
188,67815179,2 bedroom end of terrace house for sale,95000," Crantock Street,  Manchester, M12",20/07/2017," by Easy Homes MCR, Manchester"
187,70483709,1 bedroom apartment for sale,95000,"Market Street,
Droylsden,
Manchester,
M43",09/12/2017, by Watkin Jones Homes
186,68055484,3 bedroom terraced house for sale,95000,"Craig Road, Manchester",19/10/2018," by Edward Mellor Ltd, Gorton"
185,76392431,2 bedroom end of terrace house for sale,95000,"Delafield Avenue, Manchester",16/10/2018," by Edward Mellor Ltd, Levenshulme"
197,56055426,2 bedroom terraced house for sale,95000,"Maybury Street, Manchester",24/05/2018," by Sanderson James, Gorton"
184,55168116,1 bedroom flat for sale,95000,"14 Fairhope Court, Salford, Manchester, M6 8AZ",03/07/2018," by yieldit, Manchester"
207,65546095,1 bedroom apartment for sale,95000,"Elmwood, Worsley",08/10/2018," by Briscombe, Nutter & Staff, Worsley"
199,75722462,1 bedroom flat for sale,95000,"Altrincham Road, Manchester, Greater Manchester, M23",19/09/2018," by Bridgfords, Sale"
200,67707739,2 bedroom flat for sale,95000,"Platt Court, Farnworth Drive, Manchester",26/09/2018," by Edward Mellor Ltd, Stockport"
201,67953670,4 bedroom end of terrace house for sale,95000,"Albert Avenue, Debdale Park, Manchester",12/10/2018," by Edward Mellor Ltd, Stockport"
202,55515351,2 bedroom apartment for sale,95000,"Rawsthorne Avenue, Gorton, Manchester",18/07/2018," by Kaye Mackenzie, Levenshulme - Sales"
203,56419950,1 bedroom flat for sale,95000,"Derby Road, Heaton Moor",04/09/2018," by Julian Wadden, The Heatons"
204,56726499,2 bedroom terraced house for sale,95000,"Sunny Brow Road, Manchester, M18",29/09/2018," by Housesimple.com, Manchester"
205,76489469,Studio flat for sale,95000,"Dowland Close, Northern Moor, M23",18/10/2018," by The Property Man, Sale"
206,56139129,3 bedroom terraced house for sale,95000,"Russet Road, Manchester, Manchester",30/04/2018," by Edward Mellor Ltd, Droylsden"
198,75385016,2 bedroom apartment for sale,95000,"Fourth Avenue, Swinton",17/10/2018," by Carr & Hume Estate Agents Limited, Swinton"
182,76025555,2 bedroom flat for sale,96000,"Church Road, Northenden",01/10/2018," by Kirn Estates, Northenden"
181,75450074,2 bedroom apartment for sale,96000,"Flat 11 Redwood House, Church Road, Manchester, M22",07/09/2018," by Bergins Estate Agents, Manchester - Sales"
180,67461217,2 bedroom retirement property for sale,96000,"Church Road, Northenden, Manchester",12/09/2018," by Kirn Estates, Northenden"
183,76228562,2 bedroom retirement property for sale,96000,"Church Road, Northenden",01/10/2018," by Kirn Estates, Northenden"
179,76093961,2 bedroom terraced house for sale,97000,"Highmead Street, Gorton, Manchester",03/10/2018," by Doorsteps.co.uk, National "
177,76482518,3 bedroom semi-detached house for sale,97500,"Langley Road,
Salford,
M27 8SS",18/10/2018, by Plumlife
176,56463771,1 bedroom apartment for sale,97500,"Hollywood, 5 Missouri Avenue",06/09/2018, by RW Invest
178,76636118,1 bedroom flat for sale,97500,"Danes Road, Rusholme",24/10/2018," by Equity Living, Cheadle Hulme"
175,56340876,2 bedroom flat for sale,98000,"Cheetham Hill Road, Manchester, M8",24/05/2018," by Housesimple.com, Manchester"
174,46022553,2 bedroom flat for sale,98000,"Queens Road, Manchester, Greater Manchester, M40",20/12/2016," by Bridgfords, Manchester"
173,65329528,2 bedroom flat for sale,98000,"697 Hyde Road, Manchester, Greater Manchester, M12",29/05/2018," by Mustafa & Co Property Management, Manchester"
172,67222027,2 bedroom semi-detached house for sale,99000,Gloucester Road Droylsden,29/08/2018," by Beech Property, Droylsden"
171,62686264,2 bedroom flat for sale,99000,"Lakeside Rise, Blackley, Manchester",14/11/2017," by Belvoir, Manchester Central"
170,75479258,1 bedroom apartment for sale,99125,"Hollywood, Missouri Avenue",08/09/2018, by RW Invest
168,55787802,2 bedroom flat for sale,99500,"Brunton Road, South Reddish, Stockport",03/09/2018," by Julian Wadden, REDDISH"
169,76473065,3 bedroom town house for sale,99500,"Briscoe Lane, Newton Heath, Manchester",18/10/2018," by Clarke & Co, Chadderton"
